event_id,customer_id,event_type,event_timestamp
1,7328,add_to_cart,2026-04-14 11:27:25
2,5357,add_to_cart,2026-04-14 11:31:50
3,2094,purchase,2026-04-14 11:27:02
4,9842,view,2026-04-14 11:30:57
5,168,click,2026-04-14 11:31:19
6,4522,add_to_cart,2026-04-14 11:27:07
7,2916,add_to_cart,2026-04-14 11:29:52
8,6893,click,2026-04-14 11:29:35
9,5570,click,2026-04-14 11:31:32
10,9173,purchase,2026-04-14 11:30:29
11,8064,purchase,2026-04-14 11:30:22
12,7798,click,2026-04-14 11:27:21
13,8593,view,2026-04-14 11:30:04
14,6906,view,2026-04-14 11:32:09
15,3325,click,2026-04-14 11:31:14
16,6770,view,2026-04-14 11:29:27
17,9291,view,2026-04-14 11:29:44
18,1112,view,2026-04-14 11:30:57
19,6361,click,2026-04-14 11:27:00
20,824,add_to_cart,2026-04-14 11:31:30
21,873,click,2026-04-14 11:32:05
22,4088,purchase,2026-04-14 11:30:35
23,2956,click,2026-04-14 11:28:23
24,5826,click,2026-04-14 11:32:19
25,467,view,2026-04-14 11:28:48
26,7254,view,2026-04-14 11:29:35
27,7570,view,2026-04-14 11:27:20
28,6969,click,2026-04-14 11:30:55
29,6316,purchase,2026-04-14 11:32:40
30,5206,add_to_cart,2026-04-14 11:31:32
31,6814,view,2026-04-14 11:30:33
32,4619,view,2026-04-14 11:32:39
33,5250,purchase,2026-04-14 11:29:54
34,5670,click,2026-04-14 11:32:35
35,2170,view,2026-04-14 11:32:33
36,4815,purchase,2026-04-14 11:29:42
37,1676,click,2026-04-14 11:29:51
38,1096,click,2026-04-14 11:28:28
39,7862,add_to_cart,2026-04-14 11:31:29
40,1429,click,2026-04-14 11:30:30
41,825,click,2026-04-14 11:32:30
42,5320,view,2026-04-14 11:29:09
43,9254,view,2026-04-14 11:28:57
44,2380,click,2026-04-14 11:32:01
45,1450,view,2026-04-14 11:31:56
46,8598,add_to_cart,2026-04-14 11:30:40
47,3582,purchase,2026-04-14 11:31:43
48,9504,add_to_cart,2026-04-14 11:29:04
49,5715,purchase,2026-04-14 11:28:10
50,8139,click,2026-04-14 11:31:04
51,6875,view,2026-04-14 11:28:52
52,5985,click,2026-04-14 11:31:35
53,3129,view,2026-04-14 11:28:45
54,9914,view,2026-04-14 11:31:47
55,2482,purchase,2026-04-14 11:32:27
56,9965,add_to_cart,2026-04-14 11:28:12
57,131,view,2026-04-14 11:27:42
58,2100,add_to_cart,2026-04-14 11:27:32
59,640,view,2026-04-14 11:27:56
60,5309,click,2026-04-14 11:27:41
61,4419,purchase,2026-04-14 11:26:52
62,9258,click,2026-04-14 11:29:32
63,6876,purchase,2026-04-14 11:27:27
64,6671,click,2026-04-14 11:27:29
65,9306,view,2026-04-14 11:29:31
66,9692,view,2026-04-14 11:32:07
67,7916,purchase,2026-04-14 11:31:28
68,3045,purchase,2026-04-14 11:26:46
69,40,click,2026-04-14 11:29:53
70,8624,view,2026-04-14 11:27:47
71,4519,view,2026-04-14 11:30:45
72,3065,purchase,2026-04-14 11:31:43
73,7789,view,2026-04-14 11:30:40
74,1574,purchase,2026-04-14 11:31:06
75,7143,click,2026-04-14 11:31:43
76,4684,click,2026-04-14 11:30:09
77,565,view,2026-04-14 11:28:37
78,6072,view,2026-04-14 11:32:29
79,5404,view,2026-04-14 11:27:49
80,5750,view,2026-04-14 11:27:32
81,2835,view,2026-04-14 11:28:08
82,7792,click,2026-04-14 11:32:39
83,293,view,2026-04-14 11:30:46
84,4627,click,2026-04-14 11:27:43
85,1003,view,2026-04-14 11:30:59
86,6191,click,2026-04-14 11:31:05
87,3358,click,2026-04-14 11:32:23
88,1328,view,2026-04-14 11:26:52
89,2656,add_to_cart,2026-04-14 11:30:30
90,2717,view,2026-04-14 11:28:38
91,6264,click,2026-04-14 11:27:25
92,4071,add_to_cart,2026-04-14 11:28:52
93,5421,view,2026-04-14 11:27:51
94,452,add_to_cart,2026-04-14 11:29:26
95,8047,view,2026-04-14 11:29:58
96,4343,add_to_cart,2026-04-14 11:27:37
97,6892,view,2026-04-14 11:27:12
98,290,view,2026-04-14 11:31:50
99,4316,purchase,2026-04-14 11:29:42
100,4213,view,2026-04-14 11:28:59
101,8485,add_to_cart,2026-04-14 11:32:26
102,1368,click,2026-04-14 11:30:47
103,4416,view,2026-04-14 11:32:11
104,2299,view,2026-04-14 11:28:10
105,9177,view,2026-04-14 11:27:04
106,3413,purchase,2026-04-14 11:27:39
107,1394,view,2026-04-14 11:31:06
108,7712,view,2026-04-14 11:27:30
109,8924,view,2026-04-14 11:28:15
110,2057,add_to_cart,2026-04-14 11:29:53
111,6487,purchase,2026-04-14 11:29:49
112,8663,purchase,2026-04-14 11:30:43
113,5624,view,2026-04-14 11:29:02
114,751,view,2026-04-14 11:29:46
115,284,click,2026-04-14 11:28:04
116,5773,view,2026-04-14 11:29:38
117,6978,add_to_cart,2026-04-14 11:27:19
118,3182,click,2026-04-14 11:31:09
119,967,add_to_cart,2026-04-14 11:29:41
120,8577,purchase,2026-04-14 11:28:08
121,756,view,2026-04-14 11:31:03
122,2200,click,2026-04-14 11:31:29
123,3256,view,2026-04-14 11:31:59
124,6316,click,2026-04-14 11:27:48
125,8690,click,2026-04-14 11:31:09
126,6312,view,2026-04-14 11:32:10
127,533,add_to_cart,2026-04-14 11:28:50
128,2312,purchase,2026-04-14 11:31:51
129,365,click,2026-04-14 11:27:14
130,8980,add_to_cart,2026-04-14 11:28:40
131,1335,click,2026-04-14 11:27:29
132,3184,purchase,2026-04-14 11:32:04
133,8982,click,2026-04-14 11:27:22
134,8544,purchase,2026-04-14 11:30:36
135,6288,click,2026-04-14 11:29:40
136,4129,add_to_cart,2026-04-14 11:27:09
137,2511,purchase,2026-04-14 11:29:37
138,7522,purchase,2026-04-14 11:29:17
139,7512,view,2026-04-14 11:28:03
140,8161,view,2026-04-14 11:26:53
141,394,click,2026-04-14 11:28:36
142,2705,purchase,2026-04-14 11:31:11
143,725,click,2026-04-14 11:30:28
144,9429,add_to_cart,2026-04-14 11:27:50
145,2572,purchase,2026-04-14 11:28:39
146,4543,purchase,2026-04-14 11:32:07
147,7893,purchase,2026-04-14 11:27:21
148,4000,view,2026-04-14 11:31:12
149,2094,purchase,2026-04-14 11:28:44
150,8320,click,2026-04-14 11:27:38
151,26,add_to_cart,2026-04-14 11:31:52
152,5837,view,2026-04-14 11:27:37
153,8026,click,2026-04-14 11:31:53
154,9888,purchase,2026-04-14 11:29:48
155,7974,add_to_cart,2026-04-14 11:28:01
