order_id,customer_id,order_date,status
1,8232,2025-05-08,Cancelled
2,5518,2025-05-31,Returned
3,5944,2025-12-19,Cancelled
4,7727,2026-03-06,Completed
5,7454,2025-07-13,Returned
6,5870,2025-09-17,Completed
7,8762,2026-02-20,Returned
8,5178,2025-10-12,Returned
9,3559,2025-09-06,Returned
10,7901,2025-05-02,Cancelled
11,550,2025-07-24,Completed
12,9317,2025-09-04,Cancelled
13,716,2025-08-26,Cancelled
14,7629,2025-10-23,Completed
15,8227,2025-05-30,Completed
16,6154,2025-10-13,Cancelled
17,9922,2025-05-10,Completed
18,3848,2025-08-18,Completed
19,5288,2025-09-05,Returned
20,7050,2026-03-01,Cancelled
21,4176,2025-06-18,Returned
22,3537,2025-12-02,Cancelled
23,9669,2026-01-29,Returned
24,7559,2025-07-17,Returned
25,1541,2025-10-02,Returned
26,5100,2025-06-17,Cancelled
27,9745,2026-01-25,Cancelled
28,2193,2025-12-07,Cancelled
29,4470,2025-05-06,Cancelled
30,3940,2025-09-13,Cancelled
31,7316,2025-06-16,Completed
32,5014,2025-12-15,Cancelled
33,547,2025-12-28,Cancelled
34,9538,2025-11-12,Cancelled
35,806,2025-08-05,Cancelled
36,2392,2025-10-22,Completed
37,1238,2025-05-10,Completed
38,8302,2025-07-11,Completed
39,9934,2026-03-19,Returned
40,7885,2026-01-30,Cancelled
41,1244,2025-08-01,Returned
42,9921,2026-02-12,Returned
43,9940,2025-04-15,Completed
44,5200,2025-05-18,Returned
45,2641,2025-04-28,Cancelled
46,2865,2025-05-02,Returned
47,3807,2025-09-02,Returned
48,1769,2026-02-14,Completed
49,8542,2025-04-24,Cancelled
50,6868,2025-05-19,Completed
51,3690,2026-03-13,Returned
52,6168,2026-04-02,Cancelled
53,7358,2025-08-11,Cancelled
54,1855,2025-04-16,Completed
55,9589,2025-10-19,Completed
56,8173,2025-11-06,Completed
57,9843,2026-03-15,Returned
58,9209,2025-09-19,Returned
59,3613,2025-07-13,Returned
60,6404,2026-01-16,Completed
61,5878,2025-08-20,Completed
62,9690,2025-10-06,Returned
63,8563,2025-06-25,Returned
64,8882,2026-02-25,Returned
65,9187,2025-06-12,Completed
66,7310,2025-06-04,Completed
67,1313,2025-06-16,Cancelled
68,9474,2025-12-19,Returned
69,8221,2025-04-30,Returned
70,9392,2025-08-18,Returned
71,2869,2025-06-22,Returned
72,8485,2025-07-12,Cancelled
73,6650,2026-01-17,Completed
74,8773,2025-07-15,Completed
75,9208,2025-11-11,Cancelled
76,7691,2025-11-10,Cancelled
77,9570,2025-09-14,Returned
78,4172,2025-10-14,Cancelled
79,8600,2025-06-10,Completed
80,9540,2025-09-26,Returned
81,7306,2026-02-27,Cancelled
82,1355,2025-08-18,Completed
83,3576,2026-02-23,Returned
84,5825,2025-05-15,Cancelled
85,3122,2025-07-12,Returned
86,5262,2025-12-03,Cancelled
87,3958,2025-05-15,Returned
88,9917,2025-10-02,Returned
89,1055,2025-07-16,Cancelled
90,8934,2026-02-22,Completed
91,7654,2025-06-11,Returned
92,6842,2025-11-29,Cancelled
93,8699,2025-08-12,Cancelled
94,5263,2025-06-25,Returned
