payment_id,order_id,amount,payment_method,payment_status
1,1,5603.81,UPI,Failed
2,2,5717.37,UPI,Success
3,3,553.2,Credit Card,Failed
4,4,209.96,Credit Card,Success
5,5,1677.26,Credit Card,Failed
6,6,574.87,UPI,Success
7,7,5173.31,Wallet,Success
8,8,3529.36,Credit Card,Failed
9,9,936.1,Net Banking,Success
10,10,4825.12,Net Banking,Success
11,11,5218.03,Credit Card,Failed
12,12,5285.75,UPI,Failed
13,13,7836.78,Wallet,Success
14,14,2285.57,Net Banking,Failed
15,15,5397.13,Net Banking,Failed
16,16,4562.41,Credit Card,Success
17,17,441.2,Net Banking,Success
18,18,5302.9,Net Banking,Failed
19,19,4999.31,Wallet,Failed
20,20,2018.02,Wallet,Failed
21,21,625.71,Net Banking,Failed
22,22,4296.38,Wallet,Success
23,23,1559.16,Credit Card,Failed
24,24,4916.98,Credit Card,Success
25,25,2989.98,Credit Card,Failed
26,26,3965.23,Credit Card,Failed
27,27,4031.78,Wallet,Failed
28,28,2701.22,Wallet,Failed
29,29,1909.03,Wallet,Failed
30,30,4821.12,Credit Card,Failed
31,31,597.89,Wallet,Success
32,32,4390.77,UPI,Success
33,33,2656.54,Wallet,Success
34,34,6123.93,Wallet,Success
35,35,6078.0,Net Banking,Failed
36,36,5247.23,Net Banking,Success
37,37,4241.42,UPI,Success
38,38,41.37,UPI,Failed
39,39,2087.32,Credit Card,Success
40,40,2475.54,Net Banking,Success
41,41,4746.55,Wallet,Failed
42,42,2843.6,Wallet,Success
43,43,2327.54,Net Banking,Failed
44,44,1434.61,UPI,Success
45,45,5256.38,Wallet,Failed
46,46,6505.23,UPI,Failed
47,47,2947.61,Net Banking,Failed
48,48,3083.88,Wallet,Failed
49,49,328.22,Net Banking,Success
50,50,1203.08,UPI,Failed
51,51,6805.34,Credit Card,Failed
52,52,2680.97,Credit Card,Failed
53,53,936.28,Wallet,Success
54,54,9329.5,Wallet,Success
55,55,2306.02,Credit Card,Failed
56,56,4999.74,Wallet,Success
57,57,4635.62,Net Banking,Success
58,58,614.33,Wallet,Failed
59,59,101.35,UPI,Failed
60,60,403.05,Wallet,Success
61,61,2697.03,Credit Card,Failed
62,62,1008.26,Net Banking,Failed
63,63,3445.59,Credit Card,Failed
64,64,1939.91,Wallet,Failed
65,65,4523.81,Credit Card,Failed
66,66,5224.1,Net Banking,Success
67,67,3090.27,Credit Card,Success
68,68,1257.12,Credit Card,Success
69,69,2887.31,UPI,Failed
70,70,3213.96,Wallet,Success
71,71,4139.57,Wallet,Failed
72,72,2937.91,UPI,Failed
73,73,4132.41,Net Banking,Success
74,74,1990.18,UPI,Success
75,75,3160.51,Net Banking,Success
76,76,1141.24,UPI,Success
77,77,1052.79,UPI,Success
78,78,2647.38,UPI,Failed
79,79,568.84,UPI,Failed
80,80,1745.07,Credit Card,Success
81,81,4025.65,UPI,Success
82,82,420.61,UPI,Failed
83,83,4820.23,Net Banking,Failed
84,84,7676.94,Credit Card,Failed
85,85,4971.37,Wallet,Success
86,86,2984.4,Net Banking,Success
87,87,2491.52,Credit Card,Success
88,88,986.43,Wallet,Success
89,89,5090.75,Net Banking,Failed
90,90,2458.76,Wallet,Failed
91,91,4843.55,Credit Card,Success
92,92,1245.38,Wallet,Success
93,93,3940.68,Net Banking,Success
94,94,4806.46,Wallet,Success
95,95,882.36,Net Banking,Success
96,96,3517.07,Credit Card,Success
97,97,6470.72,UPI,Failed
98,98,4770.22,Wallet,Success
99,99,936.28,Wallet,Failed
100,100,3890.7,Wallet,Failed
101,101,1736.85,Credit Card,Failed
102,102,5215.62,Net Banking,Failed
103,103,365.8,Wallet,Failed
104,104,1224.41,Wallet,Success
105,105,643.69,Wallet,Failed
106,106,4765.84,Net Banking,Failed
107,107,943.38,Net Banking,Success
108,108,1622.7,Net Banking,Failed
109,109,4224.05,Credit Card,Failed
110,110,3807.85,Wallet,Failed
111,111,5559.69,Net Banking,Failed
112,112,4215.5,UPI,Failed
113,113,2921.86,Net Banking,Failed
114,114,5042.39,Net Banking,Success
115,115,3205.9,Credit Card,Success
116,116,3099.11,Credit Card,Success
117,117,3184.23,Net Banking,Success
118,118,7499.48,Net Banking,Success
119,119,4409.17,Wallet,Success
120,120,3210.04,Credit Card,Failed
121,121,820.71,Credit Card,Success
122,122,1742.48,Credit Card,Failed
123,123,2350.74,Wallet,Success
124,124,4056.17,Wallet,Failed
125,125,3343.62,Credit Card,Success
126,126,1613.77,Credit Card,Success
127,127,2157.28,Credit Card,Failed
128,128,35.42,Wallet,Failed
129,129,637.61,Credit Card,Failed
130,130,2893.74,Wallet,Failed
131,131,4940.79,Credit Card,Failed
132,132,2018.78,Credit Card,Success
133,133,35.42,Credit Card,Failed
134,134,1087.68,Wallet,Failed
135,135,6023.14,Wallet,Success
136,136,4284.82,Credit Card,Failed
137,137,1482.03,UPI,Failed
138,138,2699.1,Credit Card,Success
139,139,1916.16,UPI,Success
140,140,1031.13,Net Banking,Failed
141,141,2648.61,Credit Card,Success
142,142,5800.69,Credit Card,Failed
143,143,2718.11,Wallet,Success
144,144,1010.85,Net Banking,Failed
145,145,4714.54,Wallet,Success
146,146,6729.94,Credit Card,Success
147,147,506.48,Wallet,Success
148,148,219.88,Credit Card,Failed
149,149,7317.6,Net Banking,Success
150,150,1561.11,Net Banking,Success
151,151,1964.08,Wallet,Success
152,152,2654.45,UPI,Success
153,153,3115.32,Wallet,Success
154,154,1387.66,Wallet,Success
155,155,4441.75,Net Banking,Failed
156,156,5859.93,Credit Card,Success
157,157,4041.47,Net Banking,Success
158,158,3650.81,Wallet,Failed
159,159,4535.57,UPI,Failed
160,160,1750.17,Wallet,Success
161,161,2746.73,Credit Card,Failed
162,162,3521.56,Net Banking,Failed
163,163,99.52,Credit Card,Failed
164,164,1945.86,UPI,Failed
165,165,1474.68,Net Banking,Success
166,166,5264.16,Wallet,Success
167,167,4500.77,UPI,Success
168,168,4292.87,Wallet,Success
169,169,3905.75,UPI,Failed
170,170,1356.54,UPI,Success
171,171,1187.39,Credit Card,Failed
172,172,2616.58,UPI,Failed
173,173,2797.15,Net Banking,Success
174,174,3883.76,Credit Card,Success
175,175,4006.8,Wallet,Failed
176,176,4309.32,UPI,Failed
177,177,3649.38,Wallet,Failed
178,178,2569.95,UPI,Success
179,179,4702.77,UPI,Failed
180,180,3715.96,Wallet,Success
181,181,3048.47,Credit Card,Failed
182,182,3265.44,Wallet,Failed
183,183,811.0,Credit Card,Success
184,184,4609.26,UPI,Failed
185,185,1717.98,Credit Card,Failed
186,186,3482.09,Wallet,Success
187,187,3836.0,Wallet,Success
188,188,1964.83,Credit Card,Failed
189,189,4424.75,Credit Card,Success
190,190,971.65,UPI,Success
191,191,3134.56,Wallet,Failed
192,192,658.18,Net Banking,Failed
193,193,4232.27,Net Banking,Success
194,194,1211.69,UPI,Failed
195,195,1542.01,Net Banking,Failed
196,196,1408.92,Credit Card,Success
197,197,753.21,Net Banking,Failed
198,198,428.96,Credit Card,Success
199,199,2440.51,Net Banking,Success
200,200,892.16,UPI,Success
201,201,36.3,UPI,Failed
202,202,2538.06,Wallet,Failed
203,203,610.94,UPI,Failed
204,204,1904.14,Credit Card,Failed
205,205,4753.73,Wallet,Failed
206,206,2063.53,UPI,Failed
207,207,1770.67,Net Banking,Failed
208,208,3772.04,UPI,Success
209,209,629.98,Credit Card,Failed
210,210,6935.45,UPI,Failed
211,211,4062.51,UPI,Failed
212,212,4239.78,Credit Card,Success
213,213,5125.56,Wallet,Failed
214,214,6633.96,Net Banking,Failed
215,215,144.81,Net Banking,Success
216,216,3396.72,Net Banking,Success
217,217,2161.74,UPI,Failed
218,218,2827.95,Net Banking,Failed
219,219,1737.44,Wallet,Failed
220,220,1744.39,Net Banking,Success
221,221,2678.77,Wallet,Success
222,222,1140.04,UPI,Failed
223,223,1491.58,Credit Card,Success
224,224,6845.27,Wallet,Failed
225,225,2645.88,UPI,Failed
226,226,3821.22,Net Banking,Failed
227,227,2502.55,Net Banking,Failed
228,228,3027.21,Credit Card,Failed
229,229,1430.95,Wallet,Failed
230,230,2335.81,Net Banking,Success
231,231,4953.95,Net Banking,Success
232,232,4744.77,Wallet,Success
233,233,3294.96,Net Banking,Failed
234,234,4670.16,Credit Card,Failed
235,235,3961.06,Net Banking,Success
236,236,4408.76,UPI,Success
237,237,1489.82,Net Banking,Failed
238,238,339.62,Wallet,Success
239,239,2182.02,Wallet,Failed
240,240,4570.98,Net Banking,Success
241,241,2114.09,Net Banking,Success
242,242,4479.75,Wallet,Failed
243,243,1249.68,Credit Card,Success
244,244,645.28,Wallet,Success
245,245,1858.5,UPI,Failed
246,246,2947.16,Net Banking,Success
